Unit	Tags	Applications
2,	101,	587,
5A,	5,	37,
5B,	63,	429,
6A,	86,	1318,
6B,	21,	856,
6C,	90,	797,
7,	13,	91,
9,	98,	167,
9,	5,	42,
10,	105,	468,
12,	30,	173,
13,	116,	830,
15,	210,	2327,
16A,	126,	1667,
16B,	139,	804,
16C,	84,	633,
16D,	50,	1061,
166E,	51,	195,
17,	63,	712,
18,	21,	108,
21A,	43,	230,
21B,	21,	69,
23,	63,	271,
24,	10,	55,
30,	9,	196,
34,	169,	2620,
36,	111,	1189,
37,	26,	316,
45,	62,	505,
48,	82,	234,
49,	50,	443,
50,	39,	86,
51,	153,	1001,
52,	194,	1046,
53,	56,	147,
53,	51,	201,
56,	5,	49,
57,	2,	24,
